column,start,length
AGE,0,3
AGE_NEONATE,3,2
AMONTH,5,2
AWEEKEND,7,2
DIED,9,2
DISCWT,11,11
DISPUNIFORM,22,2
DQTR,24,2
DRG,26,3
DRG24,29,3
DRGVER,32,2
DRG_NoPOA,34,3
DX1,37,5
DX2,42,5
DX3,47,5
DX4,52,5
DX5,57,5
DX6,62,5
DX7,67,5
DX8,72,5
DX9,77,5
DX10,82,5
DX11,87,5
DX12,92,5
DX13,97,5
DX14,102,5
DX15,107,5
DX16,112,5
DX17,117,5
DX18,122,5
DX19,127,5
DX20,132,5
DX21,137,5
DX22,142,5
DX23,147,5
DX24,152,5
DX25,157,5
DXCCS1,162,3
DXCCS2,165,3
DXCCS3,168,3
DXCCS4,171,3
DXCCS5,174,3
DXCCS6,177,3
DXCCS7,180,3
DXCCS8,183,3
DXCCS9,186,3
DXCCS10,189,3
DXCCS11,192,3
DXCCS12,195,3
DXCCS13,198,3
DXCCS14,201,3
DXCCS15,204,3
DXCCS16,207,3
DXCCS17,210,3
DXCCS18,213,3
DXCCS19,216,3
DXCCS20,219,3
DXCCS21,222,3
DXCCS22,225,3
DXCCS23,228,3
DXCCS24,231,3
DXCCS25,234,3
ECODE1,237,5
ECODE2,242,5
ECODE3,247,5
ECODE4,252,5
ELECTIVE,257,2
E_CCS1,259,4
E_CCS2,263,4
E_CCS3,267,4
E_CCS4,271,4
FEMALE,275,2
HCUP_ED,277,3
HOSPBRTH,280,2
HOSP_DIVISION,282,2
HOSP_NIS,284,5
KEY_NIS,289,10
LOS,299,5
MDC,304,2
MDC24,306,2
MDC_NoPOA,308,2
NCHRONIC,310,2
NDX,312,2
NECODE,314,3
NEOMAT,317,2
NIS_STRATUM,319,4
NPR,323,2
ORPROC,325,2
PAY1,327,2
PL_NCHS2006,329,3
PR1,332,4
PR2,336,4
PR3,340,4
PR4,344,4
PR5,348,4
PR6,352,4
PR7,356,4
PR8,360,4
PR9,364,4
PR10,368,4
PR11,372,4
PR12,376,4
PR13,380,4
PR14,384,4
PR15,388,4
PRCCS1,392,3
PRCCS2,395,3
PRCCS3,398,3
PRCCS4,401,3
PRCCS5,404,3
PRCCS6,407,3
PRCCS7,410,3
PRCCS8,413,3
PRCCS9,416,3
PRCCS10,419,3
PRCCS11,422,3
PRCCS12,425,3
PRCCS13,428,3
PRCCS14,431,3
PRCCS15,434,3
PRDAY1,437,3
PRDAY2,440,3
PRDAY3,443,3
PRDAY4,446,3
PRDAY5,449,3
PRDAY6,452,3
PRDAY7,455,3
PRDAY8,458,3
PRDAY9,461,3
PRDAY10,464,3
PRDAY11,467,3
PRDAY12,470,3
PRDAY13,473,3
PRDAY14,476,3
PRDAY15,479,3
RACE,482,2
TOTCHG,484,10
TRAN_IN,494,2
TRAN_OUT,496,2
YEAR,498,4
ZIPINC_QRTL,502,2
