column,start,length
HOSPID,0,5
KEY,5,15
CHRON1,20,3
CHRON2,23,3
CHRON3,26,3
CHRON4,29,3
CHRON5,32,3
CHRON6,35,3
CHRON7,38,3
CHRON8,41,3
CHRON9,44,3
CHRON10,47,3
CHRON11,50,3
CHRON12,53,3
CHRON13,56,3
CHRON14,59,3
CHRON15,62,3
CHRON16,65,3
CHRON17,68,3
CHRON18,71,3
CHRON19,74,3
CHRON20,77,3
CHRON21,80,3
CHRON22,83,3
CHRON23,86,3
CHRON24,89,3
CHRON25,92,3
CHRONB1,95,3
CHRONB2,98,3
CHRONB3,101,3
CHRONB4,104,3
CHRONB5,107,3
CHRONB6,110,3
CHRONB7,113,3
CHRONB8,116,3
CHRONB9,119,3
CHRONB10,122,3
CHRONB11,125,3
CHRONB12,128,3
CHRONB13,131,3
CHRONB14,134,3
CHRONB15,137,3
CHRONB16,140,3
CHRONB17,143,3
CHRONB18,146,3
CHRONB19,149,3
CHRONB20,152,3
CHRONB21,155,3
CHRONB22,158,3
CHRONB23,161,3
CHRONB24,164,3
CHRONB25,167,3
DXMCCS1,170,11
E_MCCS1,181,11
PCLASS1,192,3
PCLASS2,195,3
PCLASS3,198,3
PCLASS4,201,3
PCLASS5,204,3
PCLASS6,207,3
PCLASS7,210,3
PCLASS8,213,3
PCLASS9,216,3
PCLASS10,219,3
PCLASS11,222,3
PCLASS12,225,3
PCLASS13,228,3
PCLASS14,231,3
PCLASS15,234,3
PRMCCS1,237,8
