column,start,length
AHAID,0,7
DISCWT,7,11
HFIPSSTCO,18,5
H_CONTRL,23,2
HOSPADDR,25,60
HOSPCITY,85,20
HOSPID,105,5
HOSPNAME,110,90
HOSPST,200,2
HOSPSTCO,202,5
HOSPWT,207,11
HOSPZIP,218,5
HOSP_BEDSIZE,223,2
HOSP_CONTROL,225,2
HOSP_LOCATION,227,2
HOSP_LOCTEACH,229,2
HOSP_REGION,231,2
HOSP_TEACH,233,2
IDNUMBER,235,6
NIS_STRATUM,241,4
N_DISC_U,245,8
N_HOSP_U,253,4
S_DISC_U,257,6
S_HOSP_U,263,4
TOTAL_DISC,267,6
YEAR,273,4
HOSP_RNPCT,277,3
HOSP_RNFTEAPD,280,4
HOSP_LPNFTEAPD,284,4
HOSP_NAFTEAPD,288,4
HOSP_OPSURGPCT,292,3
HOSP_MHSMEMBER,295,2
HOSP_MHSCLUSTER,297,2
